               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,             0.03016,             0.13903,           0.0074749,             0.35395,             0.36054,             0.30079,             0.19836,            0.040095,            0.088158,           0.0079908,           0.0013375,           0.0013375,           0.0013375
                 107,            0.029881,             0.14444,           0.0076077,             0.31327,             0.45918,             0.30324,             0.19574,            0.040287,            0.088688,           0.0077976,            0.001255,            0.001255,            0.001255
                 108,            0.028792,             0.13218,           0.0073393,             0.31569,             0.45918,             0.30279,             0.19585,            0.040285,            0.088477,           0.0077096,           0.0011725,           0.0011725,           0.0011725
                 109,            0.033701,             0.15177,           0.0093389,             0.36212,             0.36054,             0.30411,             0.19489,            0.040448,             0.08839,           0.0076616,             0.00109,             0.00109,             0.00109
                 110,            0.030036,             0.13808,            0.007666,             0.36146,             0.35204,             0.29998,             0.19345,            0.040309,            0.088696,           0.0075893,           0.0010075,           0.0010075,           0.0010075
                 111,            0.029247,             0.11137,           0.0071731,             0.32166,             0.45408,             0.30186,             0.19417,            0.040365,            0.088403,           0.0074314,            0.000925,            0.000925,            0.000925
                 112,            0.030031,             0.12098,           0.0091547,             0.32389,             0.45238,             0.29931,             0.19379,            0.040215,            0.088548,           0.0075537,           0.0008425,           0.0008425,           0.0008425
                 113,            0.031654,              0.1655,           0.0077577,             0.35633,             0.34524,             0.29799,             0.19251,            0.040197,            0.088659,           0.0076046,             0.00076,             0.00076,             0.00076
                 114,            0.030539,             0.15055,           0.0085264,             0.34696,             0.35374,             0.29604,             0.19193,            0.040184,             0.08868,           0.0076831,           0.0006775,           0.0006775,           0.0006775
                 115,            0.030599,             0.15824,           0.0069216,             0.33881,             0.37415,             0.29953,             0.19425,            0.040183,            0.088949,           0.0076839,            0.000595,            0.000595,            0.000595
                 116,            0.028709,             0.13078,           0.0067505,             0.33195,             0.38095,             0.29947,             0.19581,             0.03991,            0.088967,           0.0076897,           0.0005125,           0.0005125,           0.0005125
                 117,            0.028126,             0.13482,           0.0064166,             0.32797,             0.38265,               0.301,             0.19804,             0.03978,            0.088897,           0.0076117,             0.00043,             0.00043,             0.00043
                 118,            0.030072,             0.14993,           0.0083619,             0.32904,             0.38435,              0.3026,             0.19847,            0.039742,            0.088579,           0.0075804,           0.0003475,           0.0003475,           0.0003475
                 119,             0.02847,             0.12478,           0.0076409,             0.32503,             0.38095,             0.30262,             0.20125,            0.039601,            0.088437,           0.0073028,            0.000265,            0.000265,            0.000265
